Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar,jenisPostingan
13,27,5,2021,tokopedia,Daripada Minto baca kodekode dari dia yang sulit dipahami mendingan Minto baca buku pengembangan diri Karena pada akhirnya kemapanan akan lebih menarik daripada ketampanan   Buat kamu yang mau tau Minto beli bukunya di mana ya pastinya di Tokopedia lah karena lagi ada promo BOOKARNAVAL MEGA SALE  Kamu bisa beli berbagai BUKU dari berbagai Bookstore favoritmu dengan HARGA cuma SERIBU buruan tap gambar postingan ini dan klik produknya,https://www.instagram.com/p/CPXdIDlBqiE,16796,2020,Others
12,27,5,2021,tokopedia,Kalau Minto paling suka Boombayah kalau Mia sih katanya Ice Cream Kalau kamu  Follow Instagram tokopedia dan nyalakan notifikasimu untuk lihat kontenkonten seru dari BLACKPINK  TokopediaxBlackpink BLACKPINK,https://www.instagram.com/p/CPXSd0jB9OL,31788,2921,Others
15,26,5,2021,tokopedia,Pengumumanpengumuman Pintu teater Tokopedia telah dibuka harap yg sudah melihat postingan ini untuk like comment share dan save Selamat menikmati tayangan drama pertama tentang Mia  Untuk infoinfo lengkap lainnya kalian bisa sekalian follow tokopediacare yaaah,https://www.instagram.com/p/CPVCYXahsXl,19355,2974,Others
12,26,5,2021,tokopedia,Yang katanya hafal liriknya bisa menang hadiahnya   Cara ikutannya  1 Follow tokopedia dan tokopediacantik  2 Jawab isi lirik cukup SEKALI SAJA  3 Tambahkan hashtag TokopehadiahLaguWIB serta tag 2 temen kamu di kolom komentar  4 1 satu pemenang yang terpilih akan mendapatkan REALME C11  5 Pemenang akan diumumkan tanggal 15 Juni 2021 di IG Story  NOTE Boleh menggunakan akun temankeluarga kamu untuk ikutan giveway ini biar kesempatan menang lebih besar  Yuk jawab SEBANYAKBANYAKNYA dengan akun yang berbeda supaya kesempatan menangmu lebih besar dan share postingan ini biar temanteman kamu bisa ikutan  giveawaytokopedia tokopedia hadiah giveawayindonesia giveawayolshop giveawayid giveawayindo giveaway kuis promo realme,https://www.instagram.com/p/CPUyc5qhVd9,33200,6033,giveaway
9,26,5,2021,tokopedia,Selamat Hari Raya Waisak untuk semua yang merayakannya Semoga dalam suasana hati yang tenang dan damai diri menjadi lebih bersinar bersama cahaya Waisak   Waisak 2565BE,https://www.instagram.com/p/CPUfvcNLW-u,18303,1136,Others
21,25,5,2021,tokopedia,Terima kasih atas antusiasme kalian untuk TokopediaWIB TV Show Spesial KolaborasiAnakBangsa  Kolaborasi mana yang paling wuowwwwww menurut kalian,https://www.instagram.com/p/CPTJHbjgL02,21050,2401,Others
19,25,5,2021,tokopedia,Katanya sih gitu Yuk ah cari tau sekarang karena udah waktunya buat nonton WIB TV Show spesial Kolaborasi Anak Bangsa   Akan ada Raisa Dewa19 Ari Lasso Kangen Band Weird Genius hingga Maliq  Dessentials Nggak cuma itu bakalan ada banyak promo menarik yang bisa kamu dapetin   Selasa 25 Mei 2021  19302100 WIB  NET TV RCTI Indosiar Youtube Tokopedia Tokopedia Play dan GoPlay  Cusss nonton sekarang  tkpmewibtvsmei  TokopediaWIB,https://www.instagram.com/p/CPS8W6phXg8,19393,1473,Others
16,25,5,2021,tokopedia,BAGIBAGI IPHONE 12 GRATISS Coba kasih tau Mia kamu mau belanja apa aja di Tokopedia WIB kali ini dan kasih tau alasannya  Baca cara ikutannya dengan teliti yaa   Cara ikutannya  1 Follow tokopedia dan LIKE potsingan ini  2 Jawab pertanyaan pada gambar dan tulis alasannya 1 satu akun cukup komentar SEKALI SAJA  3 Tambahkan hashtag TokopehadiahWIBMei serta tag 2 temen kamu di kolom komentar  4 1 satu Pemenang yang alasannya paling menarik akan mendapatkan IPHONE 12  5 Pemenang akan diumumkan tanggal 15 Juni 2021 di IG Story  NOTE Boleh menggunakan akun temankeluarga kamu untuk ikutan giveway ini biar kesempatan menang lebih besar  Yuk jawab SEBANYAKBANYAKNYA dengan akun yang berbeda supaya kesempatan menangmu lebih besar dan share postingan ini biar temanteman kamu bisa ikutan  giveawaytokopedia tokopedia hadiah hp giveawayindonesia giveawayolshop giveawayid giveawayindo giveaway kuis promo giveawayiphone,https://www.instagram.com/p/CPSp5VkBYzv,49211,14399,giveaway
16,25,5,2021,tokopedia,Malam ini Cunait is the night Waktunya Indonesia berkolaborasi di TokopediaWIB TV Show Spesial KolaborasiAnakBangsa  Ngga hanya Tokopedia dan gojekindonesia yang kolaborasi malam ini akan ada banyak kolaborasi seru lainnya Jangan buruburu tidurnya kan besok libur   Selasa 25 Mei 2021  19302100 WIB  NET TV RCTI Indosiar Youtube Tokopedia Tokopedia Play dan GoPlay  Set remindermu sekarang   tkpmewibtvsmei  Downloadupdate Aplikasi Tokopedia kamu karena akan ada banyak keseruan sebelum dan saat acara berlangsung ,https://www.instagram.com/p/CPSkaGzAc1g,14255,725,Others
13,25,5,2021,tokopedia,Malam ini promonya beda guys Selain makin banyak untungnya makin banyak juga varian promonya karena ada promo menarik dari gojekindonesia juga nih untuk memeriahkan WIB TV Show spesial Kolaborasi Anak Bangsa  Cek promonya di slide selanjutnya atau klik link di bio untuk cari tahu info lengkap seputar promo Waktu Indonesia Belanja di Tokopedia  Tokopedia SelaluAdaSelaluBisa TokopediaWIB KolaborasiAnakBangsa,https://www.instagram.com/p/CPSQuLjhDCx,13401,562,Others
