Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar,jenisPostingan
10,4,6,2021,shopee_id,Yuhuu Sobat Shopee  Siapa nih yang suka banget ngelakuin segala aktivitas yang berhubungan dengan rumah Pas banget Shopee punya pilihan hadiah spesial peralatan rumah yang pastinya bisa bikin pekerjaan rumah kamu jadi lebih mudah dong  Kamu pilih hadiah yang mana nih A B C atau D Yuk langsung aja TAP 2X dan tulis pilihan kamu di kolom komentar  ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPrrMFFBKw7,16562,6906,Others
9,4,6,2021,shopee_id, HALAL CORNER DAY    Hai Sobat Shopee HARI INI ShopeePilihLokal ada Halal Corner Day  Kamu bisa beli semua produk lokal incaran kamu dari berbagai brand lokal ternama dengan banyak PROMO menarik Mulai dari Gratis Ongkir Xtra Cashback sd 100RB hingga Flash Sale mulai dari RP1000  Mantap banget kan Langsung aja belanja dan nikmati promonya di sini  shopeecoid66shopeepilihlokal  Komen MANTAP kalau kamu mau dapetin promo tambahan dari Shopee ShopeeID,https://www.instagram.com/p/CPrlErkDaHp,3135,160,Others
20,3,6,2021,shopee_id,Yuhuu Sobat Shopee Siapa nih yang suka makan keripik Sama banget  Nah Shopee mau tau dong kamu kalau disuruh pilih paling suka makan keripik yang mana sih keripik singkong kentang atau ubi nih  Yuk langsung tulis pilihan kamu ABC di kolom komentar ya  ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPqMHQJB-X2,10422,3325,Others
20,3,6,2021,shopee_id,Hai Sobat Shopee Siap untuk menyambut produk terbaru dari Oppo  Mulai tanggal 311 Juni kamu bisa preorder produk terbaru Oppo Find X3 Pro 5G secara exclusive hanya di Shopee Preorder Oppo Find X3 Pro 5G kamu sekarang dan dapatkan Oppo Enco X dan Wireless Charging Dock GRATIS  Mantap banget kan Catat tanggalnya dan jangan sampai kelewatan Untuk informasi lebih lanjut langsung aja cek di sini  shopeecoidmoppofindx3pro  Komen MANTAP kalau kamu mau dapetin Oppo Find X3 Pro 5G di Shopee ShopeeID,https://www.instagram.com/p/CPqLAgwhV47,9700,2041,Others
16,3,6,2021,shopee_id,Yuhuu Sobat Shopee Biar gak bosen mending ikut Ujian Ala Shopee Kirakira kamu bisa jawab soal yang Shopee kasih gak nih Pasti bisa dong  Coba deh kamu baca soal di atas kirakira apa ya bedanya sepatu dengan jengkol Cluenya adalah yang satu bikin mengkilap yang satu lagi bisa bikin kenyang nih  Yuk yang tau langsung aja TAP 2X dan tulis jawaban kamu di kolom komentar ya Nanti yang jawabannya benar Shopee bisa dapet hadiah deh  ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPpvldqhPRj,11303,1484,Others
14,3,6,2021,shopee_id, SHOPEE GAMES FESTIVAL   Yuhuu Sobat Shopee Jangan lewatkan Shopee Games Festival Semangat Berbagi mulai tanggal 31 Mei  6 Juni hanya di Shopee  Kamu bisa ajak teman kamu main bareng dan menangkan iPhone 12 serta ratusan juta koin Shopee Mantap banget kan  Langsung aja mulai main dan cek info selengkapnya di sini  shopeecoidmSHOPEEGAMESFESTIVAL66  TAG satu teman kamu kalau kamu udah siap main dan dapetin banyak hadiah  ShopeeID,https://www.instagram.com/p/CPpm01EBwoA,4540,163,Others
13,3,6,2021,shopee_id, SAATNYA KUIS HEBOH SHOPEE   Sobat Shopee sekarang saatnya untuk KuHePee alias Kuis Heboh Shopee  Shopee yakin banget kamu pasti mau dong dapetin handphone GRATIS  Yuk langsung aja ikutan kuis ini dengan memilih hadiah Gampang banget dong  Jangan lupa juga ya untuk memenuhi beberapa syarat sebagai berikut 1 FOLLOW Instagram shopee_id 2 LIKE postingan ini 3 Wajib follow Oontz Official Shop di Shopee  shopeecoidoontzofficialshop 4 Tulis jawaban kamu di kolom komentar 5Periode giveaway berlangsung hingga 5 Juni 2021 6 Satu orang akan kami pilih secara acak untuk menjadi pemenang dan memenangkan Oppo A54 7 KuHePee akan diumumkan pada tanggal 6 Juni 2021  Yuk langsung aja jawab di kolom komentar ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPpe755B1xu,38902,36759,giveaway
12,3,6,2021,shopee_id, 3 HARI MENUJU PROMO PUNCAK   Sobat Shopee Jangan lewatkan kemeriahan Promo Puncak Shopee 66 Rumah  Hobi Sale tanggal 6 Juni mulai Pukul 0000 WIB  Kamu bisa belanja sepuasnya dengan banyak PROMO menarik mulai dari Gratis Ongkir Rp 0 semua toko dan Cashback 60  Mantap banget kan Jangan lupa untuk catat waktunya ya  Yuk tunggu apa lagi Klaim Vouchermu sekarang dan untuk info selengkapnya langsung aja cek di sini  shopeecoidm66rumahhobisaleteaser  Komen SIAP dan tag 1 teman kalau kamu udah siap belanja di PROMO PUNCAK  ShopeeID 66RumahHobiSale,https://www.instagram.com/p/CPpVCh7B4A5,3748,190,Others
10,3,6,2021,shopee_id,Sobat Shopee Siapa nih yang suka nonton TV kalo lagi waktu senggang  Sama dong Oh iya Shopee punya tantangan nih buat kamu kirakira mana nih alat yang tepat buat menyalakan TV Pasti tau dong gampang banget kan  Yuk langsung aja TAP 2X dan tulis jawaban kamu di kolom komentar ya Siapa tau TVnya besok meluncur ke rumah kamu  ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPpKzSeBD-t,25471,9974,Others
9,3,6,2021,shopee_id, INGATKAN DISKON   Yuhuu Sobat Shopee Gak perlu lagi takut ketinggalan promo Potongan Harga spesial saat mau belanja produk incaran di Shopee 66RumahHobiSale  Langsung aja pakai fitur INGATKAN DISKON sekarang juga Produk incaranmu akan otomatis masuk ke keranjangmu dan tinggal checkout di PROMO PUNCAK 6 Juni  Mantap banget kan Yuk cek info lengkapnya di sini  shopeecoid66  TAP 2X dan komen MANTAP kalau kamu mau dapetin promo tambahan ShopeeID,https://www.instagram.com/p/CPo_4wLDWsD,3777,169,Others
17,2,6,2021,shopee_id,2 Juni Shopee ke Bandung Ada Kang Emil ikut bergabung UMKM Jabar jangan bingung Shopee Center akan jadi pelindung  Hai Sobat Shopee Hari ini Shopee Indonesia bersama bapak ridwankamil selaku Gubernur Jawa Barat telah meluncurkan Shopee CenterUMKM Jabar Go Digital yang merupakan lanjutan dari kolaborasi strategis untuk mempercepat transformasi digital di Jawa Barat Terus dukung UMKM lokal dengan belanja di ShopeePilihLokal sekarang  Yuk tulis di kolom komentar produk lokal favoritmu ShopeeID,https://www.instagram.com/p/CPnR5Q7DtTb,8334,346,Others
15,2,6,2021,shopee_id, OUTFIT OF THE MONTH   Yuhuu Sobat Shopee Jangan lewatkan hari ini di inFashion by Shopee ada OOTM Outfit of the Month setiap bulan tanggal 24 hanya di Shopee  Kamu bisa belanja produk dari banyak fashion brand terbaru dan dapatkan CASHBACK sd 50RB  Tunggu apa lagi langsung aja mulai belanja dan nikmati promonya di sini  shopeecoidminfashion  Komen MAU kalau kamu mau dapetin promo tambahan dari Shopee  ShopeeID,https://www.instagram.com/p/CPnD5EIB65a,3886,245,Others
14,2,6,2021,shopee_id, SAATNYA KUIS HEBOH SHOPEE   Sobat Shopee sekarang saatnya untuk KuHePee alias Kuis Heboh Shopee  Shopee yakin banget kamu pasti mau dong dapetin handphone GRATIS  Yuk langsung aja ikutan kuis ini dengan memilih hadiah Gampang banget dong  Jangan lupa juga ya untuk memenuhi beberapa syarat sebagai berikut 1 FOLLOW Instagram shopee_id 2 LIKE postingan ini 3 Tulis jawaban kamu di kolom komentar 4Periode giveaway berlangsung hingga 4 Juni 2021 5 Satu orang akan kami pilih secara acak untuk menjadi pemenang dan memenangkan Xiaomi Redmi 9C 6 KuHePee akan diumumkan pada tanggal 6 Juni 2021  Yuk langsung aja jawab di kolom komentar ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPm9Ah8BhBC,55921,47078,giveaway
13,2,6,2021,shopee_id,Sobat Shopee sekarang saatnya untuk KuHePee spesial GODREJ  Shopee yakin banget kamu pasti mau dong dapetin TV GRATIS  Yuk langsung aja ikutan kuis ini dengan menemukan jalan yang tepat Gampang banget dong  Jangan lupa juga ya untuk memenuhi beberapa syarat sebagai berikut 1 FOLLOW Instagram shopee_id 2 LIKE postingan ini 3 Tulis jawaban kamu di kolom komentar 4Periode giveaway berlangsung hingga 5 Juni 2021 5 Satu orang akan kami pilih secara acak untuk menjadi pemenang dan memenangkan Xiaomi Mi TV 32 6 KuHePee akan diumumkan pada tanggal 6 Juni 2021  Yuk langsung aja jawab di kolom komentar ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPm2LIehJNB,34450,31919,giveaway
